,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
mass,0.726 - 2.996,0.9233322195098903,0.2709853438680536,0.21390872950799075,0.17897850878126775,0.96474168346435,0.8713407094861472,"{75: np.float64(0.30200874580756365), 90: np.float64(0.4578945575597145), 95: np.float64(0.5572122378873429), 99: np.float64(0.7000978161142156)}"
radius,0.0199466816788423 - 1.2289134059946882,0.9848676500607558,0.04248635880309964,0.03614954928044462,0.035048729090374514,0.9929563927643908,0.0927206479456104,"{75: np.float64(0.05266804229224867), 90: np.float64(0.06823338340430632), 95: np.float64(0.07548236018029973), 99: np.float64(0.0840569658466708)}"
