,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
logTe,3.4342 - 3.7459,-0.7632012932187855,0.062014552223464726,0.027219918269213918,0.0037571428571430143,0.124189042946256,0.8298000000000001,"{75: np.float64(0.021945713073004858), 90: np.float64(0.09609999999999985), 95: np.float64(0.14429999999999987), 99: np.float64(0.23639999999999972)}"
logg,-0.384 - 3.823,-0.4342441850216521,0.9806733151868601,0.4706731696496021,0.06618847006651918,0.240075575575364,4.7700000000000005,"{75: np.float64(0.4207708333333333), 90: np.float64(1.8042666666666667), 95: np.float64(2.529), 99: np.float64(3.8306249999999995)}"
Rpol,0.287801729930226 - 2.8372727025023003,-0.02946301764281367,0.4903637513845105,0.23538369789146726,0.03323089669044604,0.48432930509787,2.385359462647806,"{75: np.float64(0.21021373280571115), 90: np.float64(0.9022030744065132), 95: np.float64(1.2642783623839624), 99: np.float64(1.9148365439435429)}"
