,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
logTe,3.3621 - 4.1907,0.9514662316909307,0.039055830909155265,0.02276255512854454,0.010862756729125955,0.975709546834514,0.324363548278809,"{75: np.float64(0.02805931434631348), 90: np.float64(0.05949844047546372), 95: np.float64(0.08533731727600102), 99: np.float64(0.16150763764953618)}"
logg,3.465 - 5.345,-0.6001570140062298,0.4608442281579774,0.25720931950684656,0.07795264053344741,0.7734199570754127,3.6259056000709533,"{75: np.float64(0.3256622705459593), 90: np.float64(0.7979954784393312), 95: np.float64(1.1078369553565977), 99: np.float64(1.671496445388794)}"
Rpol,-0.9763360818022064 - 0.7228806106869394,0.5422178342312092,0.22937690365350963,0.12925411294122657,0.04343078970780857,0.8679802205239031,1.6626087636745353,"{75: np.float64(0.1568414310654438), 90: np.float64(0.39389435669659734), 95: np.float64(0.5522914754619052), 99: np.float64(0.8308653989023983)}"
