,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.5642 - 4.272,0.4646243180794113,0.08582596740917203,0.05902249643570652,0.034365868377685516,0.68203526589872,0.553806636047363,"{75: np.float64(0.08835647258758561), 90: np.float64(0.14541879272460934), 95: np.float64(0.18122332363128657), 99: np.float64(0.2689822706985472)}"
log_g,0.2 - 2.963,0.8051410225359259,0.32974514473389915,0.22544233025995322,0.1291932544708252,0.8996437217333252,2.0213280515670777,"{75: np.float64(0.33552962636947636), 90: np.float64(0.5696171875), 95: np.float64(0.6951784858703614), 99: np.float64(1.0331232508659363)}"
radius,0.8787515201730021 - 2.669967369908504,0.8909704249855909,0.16460758707216622,0.11280228324849544,0.06626665562742962,0.9457856207944926,0.9919143971648867,"{75: np.float64(0.17244160738050307), 90: np.float64(0.2798864976638853), 95: np.float64(0.3466770526546479), 99: np.float64(0.529462485897978)}"
