,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.3516171610778134 - 5.378801600728572,0.5232995000538812,0.2739125178275625,0.21070163341537654,0.16580932004542692,0.7550922468233277,1.5107408119785024,"{75: np.float64(0.2918758893231326), 90: np.float64(0.45474986512255483), 95: np.float64(0.5629167549167681), 99: np.float64(0.7759476201280405)}"
log_g,-1.0828963170617296 - 7.94051322120885,0.161383149633739,1.4189052206634494,1.1263690749262905,0.9209831038572176,0.4799949804548707,5.747673961990417,"{75: np.float64(1.6629946443339096), 90: np.float64(2.33026224886075), 95: np.float64(2.7375528387732615), 99: np.float64(3.696343094607997)}"
radius,-1.861069007171269 - 3.1297545143214007,0.33732332843727286,0.713400751368525,0.5637322361258224,0.453773021113686,0.5986216265379128,2.8084586303268364,"{75: np.float64(0.8385988724605545), 90: np.float64(1.1658364818112652), 95: np.float64(1.381526342035882), 99: np.float64(1.8741654790795228)}"
