,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
logTe,3.3621 - 4.5177,0.907405083233525,0.0830394173879248,0.022128877125075896,0.0020799999999994156,0.9532053454211088,0.8681000000000001,"{75: np.float64(0.00833999999999957), 90: np.float64(0.03741999999999988), 95: np.float64(0.0939859999999992), 99: np.float64(0.48242980000000035)}"
logg,3.241 - 5.345,-1.1033001509140368,0.514010257986867,0.15414146933819065,0.007200000000000095,0.6979021410897983,4.6411999999999995,"{75: np.float64(0.027800000000000602), 90: np.float64(0.3751200000000068), 95: np.float64(0.896619999999998), 99: np.float64(2.6957880000000003)}"
Rpol,-0.9763360818022064 - 1.165244326125311,0.5456685100152356,0.25770535670357114,0.07908351552261647,0.005012980238460529,0.8612934103418678,2.3260129267983056,"{75: np.float64(0.018503350431946546), 90: np.float64(0.18784287929676577), 95: np.float64(0.4498529114743536), 99: np.float64(1.3503930133771858)}"
