,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
logTe,3.4342 - 3.7459,-0.23812916797553374,0.05312077035227188,0.027068693641862922,0.004435026190476421,0.18654793310689494,0.28554875000000557,"{75: np.float64(0.030617681181320577), 90: np.float64(0.09186047611111085), 95: np.float64(0.1315818180769184), 99: np.float64(0.20428715011559911)}"
logg,-0.384 - 3.823,-0.5217660400358439,0.9525083924664207,0.5057081491788876,0.07966892748917664,-0.03516617995366493,4.6063405009041585,"{75: np.float64(0.6549002619047626), 90: np.float64(1.7562941375177552), 95: np.float64(2.2963969416666634), 99: np.float64(3.682076190108232)}"
Rpol,0.287801729930226 - 2.363235804483694,-0.5645747588756191,0.4762926991048335,0.2529020865834376,0.039830499274152276,-0.010074158034539975,2.3030305939409654,"{75: np.float64(0.3278983138020418), 90: np.float64(0.8784458158291699), 95: np.float64(1.1483561291523754), 99: np.float64(1.8411099937466209)}"
