,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,0.9378213838315144,0.039321064540473696,0.015033904773414332,0.0033886503029645354,0.9684559684563084,0.8246224357142848,"{75: np.float64(0.01321563486006161), 90: np.float64(0.035962777365220876), 95: np.float64(0.07638960333333199), 99: np.float64(0.1600248918343895)}"
log_g,0.8000153936846237,0.4673428075323898,0.18969574414803522,0.03816003191619899,0.895164962922445,4.630103333333327,"{75: np.float64(0.15213921051130208), 90: np.float64(0.4623970362733964), 95: np.float64(1.0924625666666659), 99: np.float64(2.168353606061266)}"
radius,0.862642078240262,30.3659668294072,9.336641335988988,1.0485489523809495,0.9293767733730398,791.5525,"{75: np.float64(6.058162505794075), 90: np.float64(20.26006076692605), 95: np.float64(45.77997378571422), 99: np.float64(142.95341170793472)}"
