# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Jul 25 09:27:00 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 5.00000 0.2994569838 1.9518252078    0.299  0.114  3.5519  2.959    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.484 9.252 7.789 6.557 5.494 4.077 2.721 1.817 1.645
0.0152 0.01508 5.00000 0.3000000119 1.9529139769    0.300  0.116  3.5521  2.959    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.480 9.246 7.781 6.548 5.487 4.073 2.718 1.814 1.642
0.0152 0.01508 5.00000 0.3163242936 1.9844954655    0.316  0.158  3.5578  2.963    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.375 9.084 7.559 6.302 5.277 3.931 2.632 1.729 1.561
0.0152 0.01508 5.00000 0.3500000238 2.0434175133    0.350  0.237  3.5688  2.973    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.179 8.764 7.149 5.855 4.889 3.678 2.473 1.573 1.415
0.0152 0.01508 5.00000 0.3837943673 2.0955676574    0.384  0.312  3.5783  2.975    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.989 8.449 6.786 5.477 4.550 3.451 2.311 1.424 1.273
0.0152 0.01508 5.00000 0.4000000358 2.1185024810    0.400  0.344  3.5825  2.978    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.910 8.307 6.633 5.320 4.407 3.356 2.243 1.365 1.217
0.0152 0.01508 5.00000 0.4235594273 2.1497731027    0.423  0.391  3.5880  2.978    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.793 8.104 6.421 5.105 4.209 3.221 2.142 1.277 1.134
0.0152 0.01508 5.00000 0.4500000477 2.1822809714    0.450  0.442  3.5937  2.976    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.665 7.875 6.197 4.883 4.002 3.076 2.028 1.180 1.041
0.0152 0.01508 5.00000 0.5000000000 2.2374541529    0.500  0.523  3.6031  2.978    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.462 7.495 5.844 4.542 3.684 2.849 1.848 1.029 0.898
0.0152 0.01508 5.00000 0.5367204547 2.2723500681    0.536  0.582  3.6088  2.973    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.315 7.234 5.609 4.317 3.473 2.689 1.715 0.914 0.787
0.0152 0.01508 5.00000 0.5500000119 2.2836582633    0.550  0.601  3.6109  2.972    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.266 7.142 5.529 4.242 3.403 2.637 1.672 0.878 0.753
0.0152 0.01508 5.00000 0.5997042060 2.3209207158    0.599  0.679  3.6174  2.958    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.61e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.072 6.805 5.238 3.969 3.146 2.430 1.493 0.720 0.600
0.0152 0.01508 5.00000 0.6000000238 2.3211213258    0.600  0.680  3.6174  2.958    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.61e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.070 6.803 5.237 3.967 3.145 2.429 1.492 0.719 0.600
0.0152 0.01508 5.00000 0.6429254413 2.3479961228    0.643  0.735  3.6223  2.953    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.87e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.933 6.556 5.030 3.776 2.966 2.283 1.367 0.610 0.495
0.0152 0.01508 5.00000 0.6499999762 2.3520353107    0.650  0.744  3.6230  2.951    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.910 6.514 4.995 3.744 2.936 2.259 1.345 0.591 0.476
0.0152 0.01508 5.00000 0.6925981045 2.3743641788    0.693  0.797  3.6271  2.943    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.779 6.286 4.806 3.568 2.773 2.121 1.224 0.484 0.372
0.0152 0.01508 5.00000 0.7000000477 2.3779267258    0.700  0.805  3.6279  2.942    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.28e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.758 6.248 4.775 3.540 2.747 2.099 1.205 0.467 0.357
0.0152 0.01508 5.00000 0.7308375239 2.3918799640    0.731  0.842  3.6329  2.944    0  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -3.48e-12      0.00 7.092e-01 2.755e-01 2.723e-03 7.402e-04 6.720e-03 -1.000 1.527e-02 2.666 6.033 4.612 3.397 2.620 1.999 1.126 0.405 0.298
0.0152 0.01508 5.00000 0.7500000000 2.3998889087    0.750  0.874  3.6357  2.934    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.585 5.882 4.493 3.289 2.522 1.915 1.052 0.341 0.237
0.0152 0.01508 5.00000 0.7928187251 2.4161868033    0.793  0.914  3.6387  2.930    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.02e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.484 5.706 4.350 3.159 2.403 1.809 0.958 0.258 0.156
0.0152 0.01508 5.00000 0.8000000119 2.4187244405    0.800  0.921  3.6392  2.929    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.06e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.468 5.677 4.327 3.138 2.383 1.792 0.943 0.245 0.142
0.0152 0.01508 5.00000 0.8097901344 2.4221007158    0.810  0.929  3.6399  2.929    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.11e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.448 5.641 4.298 3.112 2.359 1.771 0.925 0.229 0.127
0.0152 0.01508 5.00000 0.8500000238 2.4350346840    0.850  0.968  3.6423  2.921    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.351 5.483 4.169 2.993 2.250 1.671 0.834 0.146 0.046
0.0152 0.01508 5.00000 0.9000000358 2.4492786175    0.899  1.012  3.6450  2.912    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.83e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.239 5.302 4.021 2.858 2.125 1.556 0.729 0.051 -0.047
0.0152 0.01508 5.00000 0.9500000477 2.4618122009    0.950  1.052  3.6475  2.905    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.139 5.138 3.887 2.735 2.012 1.452 0.635 -0.034 -0.130
0.0152 0.01508 5.00000 1.0000000000 2.4729154477    1.000  1.092  3.6498  2.897    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -5.6e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.039 4.981 3.758 2.615 1.902 1.350 0.541 -0.120 -0.215
