,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.4385 - 3.7459,-0.362708052623703,0.05483466852817012,0.025210017835711307,0.005231422351234638,0.23217946675917092,0.7992799999999995,"{75: np.float64(0.026475000000000026), 90: np.float64(0.07824799999999976), 95: np.float64(0.11823091666666713), 99: np.float64(0.20637022222222196)}"
log_g,-0.347 - 3.787,-0.016688246562325038,0.8319010284338723,0.4292293111363712,0.08174999999999999,0.3859916519921672,4.770375,"{75: np.float64(0.5381127450980392), 90: np.float64(1.4461925), 95: np.float64(1.9777272727272708), 99: np.float64(3.4006219999999985)}"
radius,0.3207692283386865 - 2.8311015645013597,0.262542200424297,0.4160242390938305,0.2146691627953446,0.04070864599304874,0.5937832481305936,2.385553086485874,"{75: np.float64(0.2694476763128684), 90: np.float64(0.7230518259189109), 95: np.float64(0.989152227575617), 99: np.float64(1.7004999805002123)}"
