,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.424526073183654 - 4.6749789254031855,0.9699879071684812,0.04990085823048122,0.020624457476885773,0.002287172965037332,0.9848826403539994,0.7126406594710817,"{75: np.float64(0.013619681169096065), 90: np.float64(0.07220419709011859), 95: np.float64(0.11352627399681257), 99: np.float64(0.1946339985219346)}"
log_g,-0.3287802371627256 - 4.4079093481651865,0.3396043633270055,0.7497178770359257,0.32982295321723254,0.01144405805471882,0.6354568815711641,4.63531226236744,"{75: np.float64(0.22144741925655043), 90: np.float64(1.3430863478308948), 95: np.float64(1.9343080045262837), 99: np.float64(2.9320879878861232)}"
radius,0.0909920840275404 - 2.900376516729969,0.3220117337574824,0.3748501422428406,0.1649121332337639,0.005729532333345944,0.6347483533877804,2.3178745633281617,"{75: np.float64(0.11073311915447678), 90: np.float64(0.6715289972990794), 95: np.float64(0.9671186614861744), 99: np.float64(1.4659933468562485)}"
