,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 4.634489491902143,0.9305372361341564,0.08551712359406634,0.045121409475297296,0.01339392274223239,0.9647268982183418,1.1073126053574387,"{75: np.float64(0.0509791035975905), 90: np.float64(0.13816650107192638), 95: np.float64(0.1995649686769235), 99: np.float64(0.3413161237194029)}"
log_g,-0.5973100835175252 - 5.433094523832443,0.030209388120251757,0.49403905571643486,0.2613608879562451,0.06460824119703235,0.8412182433810762,5.2367978737213186,"{75: np.float64(0.31274691542268185), 90: np.float64(0.8486270141670041), 95: np.float64(1.165257918988363), 99: np.float64(1.7195872010604472)}"
radius,-0.9974747647513328 - 3.0827540579576227,0.7123479059473612,0.24866635770095347,0.13315777384866465,0.03433471278175906,0.9159687793469312,2.5929925268333056,"{75: np.float64(0.16172028519837411), 90: np.float64(0.42432773868993023), 95: np.float64(0.5868227478360709), 99: np.float64(0.8606352068625639)}"
