,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.3516171610778134 - 4.524174181659,0.7543743150072619,0.12652001422716758,0.08613371070327037,0.05556395814186654,0.8714287000194297,0.8204630091194574,"{75: np.float64(0.11553398586959673), 90: np.float64(0.21641493421993963), 95: np.float64(0.3024026941395094), 99: np.float64(0.3937083661663635)}"
log_g,-1.0828963170617296 - 4.103227073714471,0.6381930706674352,0.7251379982268902,0.5131206014026026,0.323145028949271,0.8042511867428563,4.866067574737024,"{75: np.float64(0.7498330114484069), 90: np.float64(1.2820502132726133), 95: np.float64(1.565377091162915), 99: np.float64(2.1712721495473963)}"
radius,0.0758282047744788 - 3.063523621241276,0.6833396854803595,0.36278912083398773,0.2569578315026704,0.16198121659817732,0.8352348077486584,2.4108614280487375,"{75: np.float64(0.3744001046641885), 90: np.float64(0.6432083499506484), 95: np.float64(0.781903907214584), 99: np.float64(1.0816623699551862)}"
