,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.3621 - 4.5177,0.9556507709419844,0.03827715452702346,0.014406558407108992,0.0019399999999993867,0.9775844950078258,0.8291399999999998,"{75: np.float64(0.01316000000000006), 90: np.float64(0.03925999999999963), 95: np.float64(0.06894000000000045), 99: np.float64(0.15967999999999952)}"
log_g,-0.384 - 5.345,0.8130338552874415,0.45219998012853807,0.1594813902980868,0.013599999999999834,0.9022672178111198,4.635199999999999,"{75: np.float64(0.08440000000000003), 90: np.float64(0.40759999999999974), 95: np.float64(0.9434), 99: np.float64(2.1708580000000013)}"
radius,-0.9763360818022064 - 2.8372727025023003,0.8620816642470333,0.22643476314829375,0.08074172357708219,0.007428117830299286,0.9288046951373076,2.317132539983287,"{75: np.float64(0.04484775305527894), 90: np.float64(0.20549652405679938), 95: np.float64(0.4715705191889945), 99: np.float64(1.0859933122863867)}"
