,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.42785685311742 - 4.711472733477716,0.7805873116770892,0.14836747143553664,0.11890601794054799,0.10570876409456531,0.8837977866743556,0.6313385072628921,"{75: np.float64(0.16586873689801274), 90: np.float64(0.2221642233449746), 95: np.float64(0.28347113788321865), 99: np.float64(0.4276546698855882)}"
log_g,-0.2959230723262505 - 4.408311770676233,0.22451634099644813,1.049120401372819,0.794251281717219,0.5756164969183395,0.4743260904396199,3.3836152444402403,"{75: np.float64(1.1814406431783868), 90: np.float64(1.8728378175514413), 95: np.float64(2.2398698067761957), 99: np.float64(2.6881356451968808)}"
radius,0.0919862423867022 - 2.891706235288321,0.30463254778698523,0.5829583734189554,0.4633948685494158,0.36497341476205125,0.5669445250663583,1.7887148220101259,"{75: np.float64(0.6678287842168433), 90: np.float64(1.012225780241796), 95: np.float64(1.1936339671259117), 99: np.float64(1.4145188810845337)}"
