,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 4.90340707004253,0.7503697754371119,0.17867017821632553,0.15276972181763626,0.15385964037280764,0.8662614294215141,0.7158267661817614,"{75: np.float64(0.21036427944035507), 90: np.float64(0.25684313292430255), 95: np.float64(0.30189056290731503), 99: np.float64(0.4376512367586636)}"
log_g,-0.5967768342670462 - 5.433070637654307,-0.06113406410934452,1.0159381552564244,0.8734582859394928,0.7996566314287543,0.29813341758803996,3.809494134884476,"{75: np.float64(1.1240293853381513), 90: np.float64(1.6136113077473444), 95: np.float64(1.8676325276492394), 99: np.float64(2.265335235053569)}"
radius,-0.9974628481553472 - 3.0827540579576227,0.4447713018606817,0.6258804209974922,0.523523747592557,0.47616038527161436,0.6719624779362798,2.043563584354475,"{75: np.float64(0.7045079703191984), 90: np.float64(1.0100653716430383), 95: np.float64(1.2099146395974256), 99: np.float64(1.4881984830797506)}"
