,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 4.634489491902143,0.9500481089322352,0.06384679150172207,0.015481533685388193,0.0017111521159343113,0.9750532747287117,0.9170521162841481,"{75: np.float64(0.004301318592641823), 90: np.float64(0.020215713076483066), 95: np.float64(0.08640741424265963), 99: np.float64(0.24314135269588516)}"
log_g,-1.0828963170617296 - 5.433094523832443,0.71881794717756,0.6559084821600558,0.18194144647539562,0.0075427859589560775,0.8603081131376963,5.693303843114662,"{75: np.float64(0.019416218350298053), 90: np.float64(0.23241685215016838), 95: np.float64(1.4400524025347738), 99: np.float64(3.421358898817879)}"
radius,-0.9974747647513328 - 3.082068881511837,0.7834314910035871,0.3279615271540885,0.09135207094066022,0.004579902249784773,0.8921930216538198,2.84673517851732,"{75: np.float64(0.010052109547264543), 90: np.float64(0.11623607887022691), 95: np.float64(0.7200224379946445), 99: np.float64(1.711021078600255)}"
