,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.602 - 4.4428,0.9138574715250227,0.051414304603705316,0.032059315712959814,0.017770225220683056,0.9596471323005165,0.5575481708898504,"{75: np.float64(0.043742736285176775), 90: np.float64(0.07909890004824259), 95: np.float64(0.10647404110607067), 99: np.float64(0.18042943876159204)}"
log_g,0.672 - 4.266,0.63753718958849,0.5291536331229766,0.2724310428807879,0.07193735720651762,0.8124687270771878,3.021992637633252,"{75: np.float64(0.23666620654871928), 90: np.float64(0.9970000699179437), 95: np.float64(1.3425172377216246), 99: np.float64(1.9427826452257888)}"
radius,0.0366288953621611 - 2.443262987458695,0.8025090885125871,0.264588371468658,0.13625495511847507,0.036033263138516236,0.8958842388380948,1.5097529576324848,"{75: np.float64(0.11833985144316062), 90: np.float64(0.4986993771911672), 95: np.float64(0.6713414284996011), 99: np.float64(0.9714367286005472)}"
