,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.5328 - 3.786,0.5280927951335781,0.021082189338980886,0.0038492563218812214,0.0007587301587301809,0.790574363196574,0.8407,"{75: np.float64(0.003146547619046869), 90: np.float64(0.007446666666666513), 95: np.float64(0.013036607142856475), 99: np.float64(0.036526499999999976)}"
log_g,-0.102 - 2.978,0.8981436482040694,0.12782056950553092,0.04321805726845436,0.008836363636362865,0.9487824066213306,3.5284999999999997,"{75: np.float64(0.04238273757628597), 90: np.float64(0.1019166666666668), 95: np.float64(0.17340000000000044), 99: np.float64(0.492564285714283)}"
radius,0.7818989193511491 - 2.8272399995056454,0.9549633909408961,0.0638777227413113,0.02162875960726527,0.004419887378231624,0.9773554788358731,1.7650343537442144,"{75: np.float64(0.021163427787778077), 90: np.float64(0.05104568862788239), 95: np.float64(0.08709462430433222), 99: np.float64(0.2458703308946584)}"
