,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 5.378801600728572,0.9673109085611591,0.06252368483325847,0.016078829093165232,0.001028558078604913,0.9835739836275601,0.9249732708318739,"{75: np.float64(0.003917381274143317), 90: np.float64(0.031079459077560725), 95: np.float64(0.0870337943684823), 99: np.float64(0.31604708780465984)}"
log_g,-1.0828963170617296 - 6.259434356871683,0.8201852768123867,0.5157305649401245,0.15216286854123787,0.004117532322211126,0.9077888806404456,5.670403331577318,"{75: np.float64(0.018459074728818692), 90: np.float64(0.3316831702429901), 95: np.float64(1.1471712487010959), 99: np.float64(2.5946117194747527)}"
radius,-0.9974628481553472 - 3.129269620812593,0.8778547070989275,0.25796224352264663,0.0762950496918612,0.0023453308290438124,0.9378488347694381,2.8356189458888386,"{75: np.float64(0.009560265953270086), 90: np.float64(0.16605150394324308), 95: np.float64(0.5737458950028735), 99: np.float64(1.2979692927766686)}"
