,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
mass,0.9947872048017296,1.7685556798838993,0.17434518434294122,0.0038680488748434882,0.9973956504107363,159.95419494148862,"{75: np.float64(0.02018979773052143), 90: np.float64(0.09642039595231822), 95: np.float64(0.2823282951064918), 99: np.float64(3.5915801597597365)}"
radius,0.9998290851240951,0.010473406875712509,0.005841969125846199,0.0034009011429119163,0.9999145728475541,0.5592800912707052,"{75: np.float64(0.0073711854722418035), 90: np.float64(0.01305806439161672), 95: np.float64(0.018505014278527354), 99: np.float64(0.03957092634595738)}"
