,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.424526073183654 - 4.703420536058761,0.9866366783685924,0.03659117347690074,0.01666917391707295,0.003224240548522772,0.9933073954836731,0.5576884435342575,"{75: np.float64(0.014121301315089596), 90: np.float64(0.05519333257255817), 95: np.float64(0.0848743279728727), 99: np.float64(0.1491989539677424)}"
log_g,-0.3287802371627256 - 4.403503445748651,0.6414089810294669,0.5459795634326109,0.24327937461244997,0.015757897581889502,0.8020241851847806,4.007698539742984,"{75: np.float64(0.17430741099497404), 90: np.float64(0.9506130693581892), 95: np.float64(1.40178484741294), 99: np.float64(2.13841581626558)}"
radius,0.0909920840275404 - 2.900376516729969,0.6908478542807158,0.27298670539672654,0.12165352533045393,0.007891673834136359,0.8330691374362877,2.0036206739495976,"{75: np.float64(0.08715666718018811), 90: np.float64(0.4753226858923774), 95: np.float64(0.700916161061064), 99: np.float64(1.069225379621785)}"
