,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.424526073183654 - 4.703420536058761,0.9849388030457125,0.03887675212825012,0.018608502759492253,0.005411764246338713,0.9924810796715235,0.5585873550487315,"{75: np.float64(0.01593948267681422), 90: np.float64(0.058152521693922), 95: np.float64(0.0903975797375805), 99: np.float64(0.1590875206135355)}"
log_g,-0.3287802371627256 - 4.403503445748651,0.596607364191519,0.5793914220921692,0.25784759398188445,0.02315949925206029,0.7752996993920123,4.175207384143549,"{75: np.float64(0.16107851633837122), 90: np.float64(0.995725190915235), 95: np.float64(1.4826934583574538), 99: np.float64(2.2901805353340903)}"
radius,0.0909920840275404 - 2.900376516729969,0.652225572867988,0.2896920327373445,0.12892578583071748,0.01159350318077812,0.8117385464160786,2.0865335966363356,"{75: np.float64(0.08051316899929528), 90: np.float64(0.4978675774719454), 95: np.float64(0.7412417000905971), 99: np.float64(1.1451715068557593)}"
