,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 4.634489491902143,0.9674098255680142,0.05157162774218153,0.01325876444397441,0.001021983287381234,0.9836230848464533,0.888833043091386,"{75: np.float64(0.0038294993242341535), 90: np.float64(0.027214992733563113), 95: np.float64(0.07470150176344703), 99: np.float64(0.19805446785856945)}"
log_g,-1.0828963170617296 - 5.433094523832443,0.8133904953096501,0.5343507262913707,0.15864742342378416,0.0040573219858532905,0.9042615607050316,5.653818735761596,"{75: np.float64(0.018513888984289628), 90: np.float64(0.36058625368240094), 95: np.float64(1.2074107171000428), 99: np.float64(2.6798669800772)}"
radius,-0.9974747647513328 - 3.082068881511837,0.8562731444960898,0.267180212004543,0.07944644171578,0.0022612588502793907,0.9266852908075508,2.827085087118658,"{75: np.float64(0.00939619565208144), 90: np.float64(0.1803138536467579), 95: np.float64(0.6036889155124424), 99: np.float64(1.340280072206284)}"
