,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.34913746932081 - 5.54352538784428,-0.16364612964026293,0.3108655344102294,0.22682204364695252,0.2057859697795752,0.16341865638996791,1.6930409584238415,"{75: np.float64(0.3181557845904056), 90: np.float64(0.37005028962367903), 95: np.float64(0.4244323705642752), 99: np.float64(1.257405694499019)}"
log_g,-1.14489780699774 - 8.527439721854815,-0.08180419311767206,2.109186733453463,1.9259262523842313,1.8486431657710543,0.06805316906082513,6.472511209508529,"{75: np.float64(2.458126040971301), 90: np.float64(2.773145945712894), 95: np.float64(2.9600277532358636), 99: np.float64(5.501109213571903)}"
radius,-2.054021315830615 - 3.048116480501408,0.020149511549638954,1.0644757557360998,0.9736262378835364,0.9431422093530075,0.16737241797480723,3.4828262298882424,"{75: np.float64(1.2265457693128663), 90: np.float64(1.3237191088088842), 95: np.float64(1.418792594225112), 99: np.float64(2.9072865641247967)}"
