,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 4.634489491902143,0.9674217803370178,0.05156176821571413,0.013253304645704187,0.0010245415729950302,0.9836297331145323,0.8894343124943829,"{75: np.float64(0.0038317469075792587), 90: np.float64(0.027317155975279166), 95: np.float64(0.0749028015850251), 99: np.float64(0.1970598362748981)}"
log_g,-1.0828963170617296 - 5.433094523832443,0.8135411336136856,0.5341331643420698,0.15857313566009787,0.004072489560259296,0.9043386986234271,5.653817189282493,"{75: np.float64(0.01855685009498531), 90: np.float64(0.3608636828755052), 95: np.float64(1.206821122244991), 99: np.float64(2.6703615079802843)}"
radius,-0.9974747647513328 - 3.082068881511837,0.8563894165243036,0.2670713111063534,0.07940830831645074,0.0022609101805505794,0.9267423433791727,2.8269979860691774,"{75: np.float64(0.009421149043186958), 90: np.float64(0.1804465084443105), 95: np.float64(0.603425559196227), 99: np.float64(1.3350053961942885)}"
