,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.3516171610778134 - 4.524174181659,0.8949927868979223,0.07349173619935738,0.021170776655853107,0.003106681303106207,0.9470499417704483,0.8726080362483848,"{75: np.float64(0.01102834091992344), 90: np.float64(0.043367598105034856), 95: np.float64(0.09198040399666962), 99: np.float64(0.40666030208136084)}"
log_g,-1.0828963170617296 - 4.103227073714471,0.7252197635997915,0.5249869546833069,0.16875156528359408,0.01750814175485882,0.8543803073520173,5.653817189282493,"{75: np.float64(0.0672687855656382), 90: np.float64(0.3913697475974434), 95: np.float64(0.9595064764275365), 99: np.float64(2.8414484100643946)}"
radius,0.0758282047744788 - 3.063523621241276,0.7574680330488303,0.26250351141554157,0.08437393977939299,0.008744378903122074,0.8720712135012065,2.8269979860691774,"{75: np.float64(0.03359399415513631), 90: np.float64(0.1956820755380272), 95: np.float64(0.4797684046013303), 99: np.float64(1.4206538430841724)}"
