,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.602 - 4.446,0.16150930767688831,0.1746714109744565,0.13096817249570206,0.09466113281249999,0.4372294058146643,0.6718252212524414,"{75: np.float64(0.17963597679138177), 90: np.float64(0.29811526771545405), 95: np.float64(0.38356612739562995), 99: np.float64(0.5106463600463869)}"
log_g,0.638 - 4.283,0.2818647641750064,0.9237222926285766,0.7499171201287903,0.6550262279510499,0.5806878419463294,2.831840094566345,"{75: np.float64(1.1443379974365233), 90: np.float64(1.5028651401519781), 95: np.float64(1.717033131790161), 99: np.float64(2.140607734832763)}"
radius,0.0199466816788423 - 2.458486763798206,0.6065768003700297,0.46344898652287064,0.37657260936295023,0.3289499266499796,0.7825393626555953,1.6543418763852462,"{75: np.float64(0.5721649249998695), 90: np.float64(0.752901504645707), 95: np.float64(0.8595251566171963), 99: np.float64(1.0773808826980378)}"
