,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 5.378801600728572,0.9008167868156934,0.1089022669896002,0.06882228111796754,0.034416627064158156,0.9491623037842996,0.8427955774849405,"{75: np.float64(0.09801615021798149), 90: np.float64(0.18320346158465722), 95: np.float64(0.2515311391249998), 99: np.float64(0.3729983539882584)}"
log_g,-1.0828963170617296 - 6.259434356871683,0.7437394518862814,0.6156184173772625,0.3971359508345118,0.2012850610832091,0.8629241480992709,4.796913001595129,"{75: np.float64(0.6029738962090954), 90: np.float64(1.0713059720367686), 95: np.float64(1.3657654363778442), 99: np.float64(1.9614803775231144)}"
radius,-0.9974628481553472 - 3.129269620812593,0.8253728915273966,0.30841368668978647,0.1986478699518343,0.09981913047718266,0.9086936712180833,2.509893288197782,"{75: np.float64(0.30256125557009916), 90: np.float64(0.5377397107314897), 95: np.float64(0.6863933738277216), 99: np.float64(0.9807864730120036)}"
