,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.3516171610778134 - 4.524174181659,0.750547751164454,0.11642903205174063,0.08078024801909654,0.05584713479019365,0.8706616184371605,0.7827020799377773,"{75: np.float64(0.10225629088095989), 90: np.float64(0.1833038380056753), 95: np.float64(0.25873379451316364), 99: np.float64(0.4082628560987963)}"
log_g,-1.0828963170617296 - 4.103227073714471,0.5451752339987521,0.7444235682635656,0.5017033946916304,0.3045864156418703,0.7414060654973265,5.505371614030048,"{75: np.float64(0.6611532883069606), 90: np.float64(1.296173361412029), 95: np.float64(1.6513860957887452), 99: np.float64(2.4367612262564307)}"
radius,0.0758282047744788 - 3.063523621241276,0.600095242233722,0.37104200441620316,0.2507474390484318,0.15497353403361291,0.7777627047850838,2.7734473891898057,"{75: np.float64(0.33017430427691385), 90: np.float64(0.6434868312178272), 95: np.float64(0.8216402108891169), 99: np.float64(1.2146350720263668)}"
