,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.424526073183654 - 4.709363146124065,0.836262734116626,0.13904678224006434,0.10318418720817918,0.07006490738749194,0.9155863803816645,0.5765429328414005,"{75: np.float64(0.15674158995649834), 90: np.float64(0.24894581318013312), 95: np.float64(0.29461812229480855), 99: np.float64(0.3668897336881898)}"
log_g,-0.3287802371627256 - 4.4079093481651865,0.08214727823711743,1.024322741107777,0.8104541492267957,0.682021331251331,0.44277040876644363,3.3411709027907133,"{75: np.float64(1.2567898702677023), 90: np.float64(1.7166291678280614), 95: np.float64(1.989874372258208), 99: np.float64(2.4225004201483333)}"
radius,0.0909920840275404 - 2.900376516729969,0.20478565125883008,0.5145556754871938,0.407412820279634,0.3433402358515283,0.4872661247082292,1.7476819950462403,"{75: np.float64(0.631681766666854), 90: np.float64(0.8630674705996988), 95: np.float64(0.9975807218910606), 99: np.float64(1.2136776153902635)}"
