,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
mass,0.9941191064217958,2.048301547851118,0.5307691028961596,0.09905868717464794,0.9970552947594146,72.95365928611318,"{75: np.float64(0.2721599568486974), 90: np.float64(0.9840569090648591), 95: np.float64(2.1671027282946103), 99: np.float64(8.487459015326156)}"
radius,0.9996020484794627,0.01472288296755733,0.010632378823772309,0.008112806358780478,0.9998010225765576,0.4896907800444315,"{75: np.float64(0.0145989885171105), 90: np.float64(0.02253357144233852), 95: np.float64(0.028556251605822012), 99: np.float64(0.04453989584065218)}"
