,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
mass,0.0999979840073621 - 13.998624815474695,0.997967880087404,0.14859581485787032,0.06708815226689956,0.03486265924300891,0.9989847800218492,3.5278945091053053,"{75: np.float64(0.0742817335110062), 90: np.float64(0.14200615113723603), 95: np.float64(0.2239820281928228), 99: np.float64(0.46231533901733496)}"
radius,-0.9974747647513328 - 3.082068881511837,0.9983627542851781,0.017990998553213622,0.014106927888581035,0.011932027985428806,0.9991810430555029,0.16538346855484198,"{75: np.float64(0.01990969493010941), 90: np.float64(0.028419798277404474), 95: np.float64(0.03409135078178405), 99: np.float64(0.04871415495889766)}"
