,value range,RVE,RMSE,MAE,MedAE,CORR,MAX_ER,Percentiles
T_eff,3.344668191350628 - 4.301337973559223,0.9894756697250728,0.02056867816725037,0.0045865261698163715,0.0011444142123786527,0.994823594229528,0.41704639332184223,"{75: np.float64(0.002395384572552728), 90: np.float64(0.004584474488002945), 95: np.float64(0.007054365913750214), 99: np.float64(0.10440518555838262)}"
log_g,3.379753170845917 - 5.433094523832443,-0.05205026633067278,0.354687338283714,0.05666447248414129,0.002684054907788891,0.7488648874287605,5.5717651142751645,"{75: np.float64(0.005884896084797475), 90: np.float64(0.01220798952372988), 95: np.float64(0.021586313550291635), 99: np.float64(1.8865711488495918)}"
radius,-0.9974747647513328 - 0.7629161677552769,0.6964623631952935,0.17743722262404196,0.02991466753489129,0.0022208192325675336,0.8839207964856702,2.785300162256223,"{75: np.float64(0.004889486846599803), 90: np.float64(0.010391666058216033), 95: np.float64(0.020011339971819732), 99: np.float64(0.9435162769664501)}"
